Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747749799,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1747749800,10,,Aggregated,0.000000,0.000000,330,340,340,340,350,360,360,360,360,360,360,17,0,330.0,282.0208764704362,161.45050000341143,356.664400002046,2129.705882352941
1747749801,20,,Aggregated,0.000000,0.000000,340,350,380,380,580,980,1000,1000,1000,1000,1000,40,0,330.0,338.4184025002469,161.45050000341143,1033.6333000013838,2696.425
1747749802,40,,Aggregated,17.000000,0.000000,340,350,360,370,390,860,980,1000,1000,1000,1000,56,0,340.0,329.00128928603016,161.45050000341143,1033.6333000013838,2420.0178571428573
1747749803,50,,Aggregated,19.500000,0.000000,340,350,370,380,580,980,1200,1400,1400,1400,1400,80,1,340.0,351.59038375040836,16.21300000260817,1378.6756000044988,2711.7625
1747749804,60,,Aggregated,18.333333,0.000000,340,350,360,380,580,1000,1400,1400,1400,1400,1400,99,1,340.0,361.29881414172365,16.21300000260817,1425.4234999971231,2557.6363636363635
1747749805,70,,Aggregated,19.000000,0.250000,340,360,360,380,580,980,1300,1400,1400,1400,1400,114,1,340.0,362.99650438638963,16.21300000260817,1425.4234999971231,2703.657894736842
1747749806,80,,Aggregated,19.000000,0.200000,340,360,380,420,860,1200,1800,1900,2200,2200,2200,136,1,340.0,418.1025779416279,16.21300000260817,2175.6957999969018,2754.0661764705883
1747749807,90,,Aggregated,18.833333,0.166667,350,380,460,590,1200,1400,1900,2200,2700,2700,2700,156,1,350.0,489.21455769278765,16.21300000260817,2733.966200001305,2712.1858974358975
1747749808,100,,Aggregated,19.142857,0.142857,350,390,460,660,1200,1800,2100,2700,3500,3500,3500,168,2,350.0,516.1856613100272,16.21300000260817,3519.3436999979895,2766.5535714285716
1747749809,100,,Aggregated,18.500000,0.125000,350,420,580,860,1600,2400,3000,3800,4100,4100,4100,177,2,350.0,629.3051694920201,16.21300000260817,4100.31539999909,2923.54802259887
1747749810,100,,Aggregated,18.111111,0.111111,370,650,1000,1400,2100,2400,3000,3500,4100,4100,4100,206,2,370.0,779.0726621365271,16.21300000260817,4100.31539999909,2774.23786407767
1747749811,100,,Aggregated,18.111111,0.111111,380,660,1200,1400,2200,2800,3800,3800,4200,4200,4200,212,3,380.0,831.2937004722938,16.21300000260817,4217.5407000031555,2848.3349056603774
1747749812,100,,Aggregated,17.600000,0.200000,420,880,1600,2100,3000,3800,4200,5100,5200,5200,5200,233,3,420.0,1071.0493927043833,16.21300000260817,5176.541299995733,2938.0815450643777
1747749813,100,,Aggregated,17.300000,0.300000,420,1000,1800,2200,3000,3800,4800,5200,5800,5800,5800,239,4,420.0,1121.2341234314565,16.21300000260817,5788.480999995954,2941.284518828452
1747749814,100,,Aggregated,16.700000,0.300000,460,1300,2100,2300,3500,4100,5100,5200,6500,6500,6500,249,4,460.0,1235.2250140566432,16.21300000260817,6524.834899995767,2916.5100401606423
1747749815,100,,Aggregated,16.100000,0.300000,560,1600,2300,2700,3600,4200,5200,5800,6900,6900,6900,268,5,490.0,1389.5571589556082,16.21300000260817,6940.472099995532,2974.179104477612
1747749816,100,,Aggregated,15.200000,0.300000,650,1800,2400,2800,3600,4800,5500,6500,6900,6900,6900,277,5,650.0,1465.8572819498265,16.21300000260817,6940.472099995532,3022.346570397112
1747749817,100,,Aggregated,14.400000,0.400000,690,2000,2600,3000,4000,4800,5800,6500,6900,6900,6900,286,5,680.0,1557.3768185318472,16.21300000260817,6940.472099995532,3056.7727272727275
1747749818,100,,Aggregated,13.600000,0.400000,740,2200,2700,3100,4100,5100,6000,6500,6900,6900,6900,295,5,740.0,1628.9885233901985,16.21300000260817,6940.472099995532,3095.2237288135593
1747749819,100,,Aggregated,13.100000,0.400000,880,2200,2700,3300,4200,5200,6000,6500,6900,6900,6900,306,5,880.0,1682.3748846408444,16.21300000260817,6940.472099995532,3080.9803921568628
1747749820,100,,Aggregated,12.500000,0.400000,1200,2300,3000,3500,4300,5200,6000,6500,6900,6900,6900,326,5,1200.0,1802.6943392641165,16.21300000260817,6940.472099995532,3113.3865030674847
